# Synthetic fracture network for box-counting analysis
# Generated with power-law length distribution
# Number of fractures: 442
# Domain: [0, 1.0] × [0, 1.0]
# Expected fractal dimension: ~1.4-1.6
# Format: x1 y1 x2 y2
#
0.389617 0.962455 0.556803 0.973932
0.850478 0.698862 0.839089 0.823186
0.917403 0.591345 0.924292 0.641956
0.501770 0.037191 0.481419 0.091227
0.243350 0.457540 0.377374 0.452900
0.629230 0.267476 0.570811 0.315850
0.455089 0.108451 0.505925 0.101410
0.179563 0.303403 0.105428 0.694373
0.301339 0.519065 0.351584 0.516358
0.418273 0.117264 0.375574 0.148167
0.138763 0.101709 0.196202 0.107427
0.271603 0.815994 0.407297 0.813656
0.555523 0.721908 0.539662 0.912687
0.025976 0.072000 0.137284 0.048704
0.609292 0.455054 0.708124 0.541337
0.022221 0.019570 0.122176 0.041735
0.741460 0.369198 0.743953 0.481789
0.819218 0.391406 0.982186 0.452036
0.941870 0.177846 0.882857 0.243478
0.688505 0.907261 0.743145 0.910804
0.230755 0.835955 0.263707 0.905545
0.160950 0.346986 0.166097 0.435177
0.276156 0.773933 0.374224 0.773013
0.076328 0.140171 0.070665 0.199345
0.367054 0.211760 0.494721 0.285669
0.038818 0.708351 0.034524 0.764453
0.824763 0.202090 0.911779 0.209593
0.056286 0.500589 0.057888 0.561750
0.199181 0.531799 0.433131 0.482670
0.377796 0.479492 0.531683 0.551700
0.282539 0.702376 0.333321 0.706985
0.967985 0.043394 0.971839 0.144408
0.840394 0.892235 0.835836 0.996993
0.823020 0.568796 0.914790 0.572424
0.167664 0.642179 0.263686 0.675592
0.756881 0.484904 0.807890 0.649129
0.661116 0.776278 0.674070 0.839414
0.050706 0.559977 0.189712 0.529001
0.685662 0.355461 0.705272 0.421655
0.239630 0.041830 0.214909 0.104562
0.369583 0.827571 0.389989 0.899096
0.561028 0.574352 0.506177 0.641458
0.896208 0.195270 0.899853 0.291695
0.459252 0.253820 0.512492 0.259733
0.822896 0.514542 0.783155 0.563781
0.383455 0.127794 0.443643 0.115979
0.713462 0.066976 0.704631 0.146778
0.497756 0.655898 0.469336 0.956087
0.774446 0.882960 0.863932 0.885453
0.598032 0.384924 0.623930 0.437133
0.776531 0.245333 0.784520 0.304279
0.405470 0.584022 0.498066 0.589195
0.805265 0.216236 0.920330 0.217244
0.546239 0.186805 0.547156 0.277089
0.130494 0.492958 0.142386 0.897331
0.637374 0.987919 0.747498 0.994593
0.231185 0.084028 0.317136 0.074811
0.097093 0.334541 0.286641 0.312202
0.027818 0.801929 0.107407 0.798784
0.890032 0.611158 0.870126 0.690596
0.608187 0.340356 0.715492 0.775210
0.536786 0.962747 0.587808 0.952503
0.101788 0.409976 0.091564 0.490766
0.746873 0.937962 0.844027 0.916393
0.771461 0.106670 0.739080 0.148757
0.301509 0.237563 0.304747 0.288663
0.563280 0.183813 0.544324 0.427235
0.223414 0.770348 0.009319 0.864551
0.723268 0.320846 0.856793 0.288512
0.297930 0.954310 0.394269 0.996910
0.851948 0.443719 0.993566 0.530404
0.395912 0.107476 0.401414 0.185272
0.129815 0.938259 0.140518 0.987971
0.475297 0.447123 0.536987 0.431900
0.604482 0.146513 0.695920 0.157537
0.301044 0.073964 0.305506 0.128128
0.146462 0.854629 0.114959 0.918579
0.380622 0.826376 0.447638 0.828700
0.446294 0.023037 0.516394 0.015348
0.174638 0.008936 0.255766 0.015306
0.026846 0.457100 0.169320 0.519382
0.746682 0.445246 0.728032 0.506790
0.936934 0.694238 0.973736 0.879568
0.839608 0.008258 0.842135 0.068595
0.612982 0.885263 0.705726 0.904972
0.110718 0.732239 0.189620 0.742628
0.690194 0.076314 0.742453 0.067854
0.357750 0.744376 0.341656 0.804931
0.101821 0.632236 0.094971 0.688369
0.220546 0.090790 0.190829 0.151983
0.687669 0.422203 0.516095 0.742642
0.311554 0.933748 0.364981 0.922419
0.579525 0.956939 0.646354 0.929213
0.199122 0.859799 0.195819 0.914050
0.923091 0.174006 0.914762 0.330476
0.733519 0.699508 0.723463 0.853387
0.855297 0.171711 0.780274 0.255312
0.551943 0.493805 0.628753 0.522916
0.550062 0.750312 0.722521 0.771931
0.812441 0.171602 0.787701 0.236469
0.350916 0.755559 0.359853 0.812025
0.224999 0.308294 0.510883 0.345569
0.394516 0.368546 0.388535 0.456698
0.309723 0.799270 0.401263 0.789125
0.080129 0.534668 0.049579 0.625300
0.829876 0.225499 0.780102 0.314142
0.079283 0.318012 0.037819 0.350464
0.439542 0.107725 0.440856 0.187180
0.768761 0.074127 0.802542 0.162545
0.586727 0.141676 0.588812 0.227277
0.000566 0.841111 0.047817 0.822283
0.154766 0.360474 0.363827 0.498839
0.390190 0.480652 0.526184 0.485286
0.747488 0.478731 0.708391 0.514192
0.637912 0.131557 0.582538 0.139151
0.030942 0.280330 0.083168 0.284044
0.242519 0.753268 0.301381 0.765528
0.031921 0.024414 0.035306 0.100892
0.413098 0.306861 0.409094 0.387826
0.937558 0.010161 0.936087 0.094355
0.966341 0.201773 0.996253 0.311287
0.461993 0.272667 0.755062 0.426346
0.227357 0.223258 0.223277 0.278676
0.833175 0.720764 0.887105 0.724865
0.433603 0.475335 0.482999 0.494058
0.866048 0.539890 0.833903 0.798155
0.522926 0.782520 0.502080 0.830287
0.138121 0.243654 0.264606 0.273588
0.175734 0.850666 0.234028 0.904994
0.465491 0.883156 0.462372 0.935285
0.369610 0.704259 0.391230 0.846964
0.319382 0.769103 0.254893 0.816606
0.881243 0.526290 0.948937 0.539767
0.825538 0.901966 0.888821 0.910321
0.412843 0.611083 0.467804 0.619513
0.784545 0.416863 0.822662 0.593551
0.337639 0.154518 0.517340 0.169949
0.520651 0.677819 0.534148 0.760888
0.828798 0.459576 0.809329 0.622012
0.817903 0.421924 0.825371 0.496606
0.684302 0.820403 0.739726 0.831554
0.155605 0.321423 0.128339 0.374460
0.371253 0.799335 0.333497 0.883560
0.677722 0.297877 0.674633 0.352331
0.838214 0.249796 0.835868 0.308756
0.243633 0.027107 0.181655 0.039272
0.761606 0.702420 0.770523 0.874474
0.574684 0.594522 0.766780 0.526359
0.509766 0.305089 0.583531 0.455712
0.038938 0.704532 0.045111 0.775276
0.651232 0.789368 0.856692 0.820445
0.737724 0.154559 0.715618 0.454943
0.305652 0.256184 0.288824 0.343654
0.096239 0.047241 0.274421 0.110697
0.039147 0.516466 0.030194 0.649147
0.805785 0.593923 0.856962 0.604034
0.580679 0.428869 0.562865 0.606023
0.785282 0.567796 0.762477 0.636051
0.714095 0.194862 0.691173 0.280005
0.511292 0.627629 0.464043 0.676819
0.595078 0.074372 0.673130 0.067492
0.129014 0.253520 0.151035 0.300108
0.158083 0.610153 0.234113 0.611407
0.322601 0.781142 0.355121 0.824029
0.456988 0.623056 0.530105 0.781461
0.413714 0.397791 0.375438 0.445865
0.264172 0.823568 0.354574 0.824013
0.006232 0.242605 0.096039 0.272610
0.388663 0.429633 0.379015 0.482840
0.715996 0.067393 0.786360 0.074622
0.676984 0.311855 0.680356 0.411985
0.869321 0.595077 0.957253 0.630070
0.454741 0.578502 0.517260 0.575898
0.582710 0.330483 0.534575 0.355852
0.378562 0.662547 0.481300 0.683386
0.790536 0.786812 0.806224 0.858032
0.600041 0.344634 0.564357 0.397711
0.133405 0.435044 0.200315 0.426015
0.255479 0.130212 0.436276 0.178707
0.082362 0.378770 0.061062 0.440488
0.038057 0.468749 0.017016 0.542161
0.006957 0.397041 0.054955 0.378933
0.978818 0.215352 0.989209 0.361459
0.308278 0.529814 0.372497 0.553001
0.859989 0.385390 0.807311 0.495493
0.028915 0.342097 0.086380 0.342799
0.579322 0.106360 0.581613 0.172033
0.373334 0.020509 0.416942 0.058410
0.059397 0.787726 0.190245 0.800695
0.939441 0.060614 0.948643 0.236978
0.505892 0.364672 0.671571 0.385988
0.545388 0.490259 0.477163 0.494392
0.799285 0.743950 0.855753 0.785106
0.827544 0.433899 0.880380 0.444401
0.357683 0.504983 0.538955 0.515882
0.682261 0.685321 0.693183 0.760093
0.327874 0.798486 0.389557 0.810389
0.789810 0.602521 0.748035 0.714560
0.490347 0.051248 0.484909 0.104050
0.323366 0.105114 0.374275 0.116883
0.388020 0.259265 0.657133 0.339866
0.050259 0.018932 0.050193 0.126871
0.279356 0.773897 0.282653 0.833068
0.209716 0.606417 0.242342 0.674535
0.129019 0.840771 0.116822 0.936548
0.632120 0.028693 0.617447 0.114858
0.484631 0.512544 0.620371 0.527796
0.208416 0.492466 0.334403 0.500925
0.723192 0.322469 0.774099 0.312705
0.053328 0.237284 0.040376 0.315055
0.070469 0.365739 0.133315 0.354729
0.309851 0.711715 0.316845 0.866150
0.112254 0.536310 0.066325 0.837729
0.755054 0.641960 0.808594 0.646338
0.393852 0.458672 0.471606 0.456728
0.372005 0.018867 0.367622 0.085843
0.659104 0.443196 0.655603 0.501368
0.558440 0.282451 0.657064 0.308152
0.649975 0.363666 0.639690 0.426596
0.193767 0.367020 0.381052 0.368552
0.136116 0.391216 0.112621 0.436069
0.450074 0.942606 0.478116 0.984392
0.782754 0.459154 0.763089 0.583438
0.745366 0.802229 0.794951 0.812082
0.308764 0.377621 0.387427 0.365857
0.461116 0.334110 0.454876 0.461901
0.246727 0.454548 0.246480 0.513606
0.115052 0.609601 0.166554 0.635226
0.644839 0.318972 0.627070 0.457360
0.468513 0.859017 0.471463 0.921265
0.008051 0.603221 0.007632 0.658622
0.470939 0.676136 0.530268 0.683104
0.798333 0.430178 0.815598 0.489152
0.824923 0.963387 0.862376 0.998998
0.344206 0.942695 0.049645 0.960165
0.257267 0.394387 0.261816 0.479605
0.610631 0.667746 0.670600 0.665455
0.730548 0.509388 0.812706 0.488403
0.816213 0.724994 0.879871 0.732729
0.023771 0.445553 0.034568 0.516227
0.739344 0.887448 0.769186 0.949405
0.203518 0.519372 0.298484 0.608776
0.919465 0.073165 0.917013 0.130443
0.952081 0.550729 0.948837 0.612516
0.339641 0.332994 0.225351 0.373107
0.779025 0.440975 0.781706 0.511697
0.186234 0.287515 0.186038 0.375614
0.837218 0.812769 0.784539 0.858883
0.158506 0.827519 0.144684 0.924247
0.042471 0.092595 0.032671 0.163139
0.960386 0.203523 0.985771 0.248728
0.488804 0.259990 0.356454 0.345872
0.391318 0.882100 0.350564 0.921781
0.556689 0.655392 0.624587 0.666636
